model type,model filename,plot filename,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps
cnn,a,na,10,0.0,0.0,0.0,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096048.2160413,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,../plots/1528096112.253267User-18c6b0c41c7b.png,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096161.3408036User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096165.5117671User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096167.3235362User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096168.549294User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096170.2591133User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096171.2241342User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096172.4272628User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096175.604482User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096181.972314User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096182.9375095User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096183.7311015User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096184.6344686User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
cnn,a,1528096185.2734833User-18c6b0c41c7b,10,5.579454183578491,0.7368420958518982,0.6540540456771851,10,6,40,10,6,0.0001,0.5,L1_loss,36
